Restaurant; UrlMichelin; Chef; PostalCode ; PriceRange
Auberge Quintessence;  https://restaurant.michelin.fr/3615836/auberge-quintessence-roubion; ; 06420; Prix - De 39 € à 65 €
The Marcel;  https://restaurant.michelin.fr/4041601/marcel-sete; ; 34200; Prix - De 56 € à 81 €
Automne;  https://restaurant.michelin.fr/3547121/automne-paris-11; Nobuyuki Akishige; 75011; Prix moyen - 40 €
Allium;  https://restaurant.michelin.fr/suqhhtor/allium-quimper; ; 29000; Prix - De 30 € à 95 €
Maison Lameloise;  https://restaurant.michelin.fr/2bnef6m/maison-lameloise-chagny; Eric Pras; 71150; Prix - De 82 € à 215 €
Saisons;  https://restaurant.michelin.fr/2852226/saisons-marseille-06; ; 13006; Prix - De 24 € à 85 €
Auberge St-Laurent;  https://restaurant.michelin.fr/2b05ga9/auberge-st-laurent-sierentz; Laurent Arbeit; 68510; Prix - De 33 € à 88 €
Auberge de la Mine;  https://restaurant.michelin.fr/29hyxpk/auberge-de-la-mine-gue-plat; Hubert Nobis; 61450; Prix - De 22 € à 80 €
Hostellerie Bérard;  https://restaurant.michelin.fr/2bl33gu/hostellerie-berard-la-cadiere-dazur; Jean-François Bérard; 83740; Prix - De 36 € à 143 €
Pertica;  https://restaurant.michelin.fr/3u9bmm3c/pertica-vendome; ; 41100; Prix - De 25 € à 110 €
Armani Ristorante;  https://restaurant.michelin.fr/3044086/armani-ristorante-paris-06; Massimo Tringali; 75006; Prix - De 40 € à 120 €
Le Gambetta;  https://restaurant.michelin.fr/2ayqw5m/le-gambetta-saumur; ; 49400; Prix - De 29 € à 107 €
Takao Takano;  https://restaurant.michelin.fr/1fchzdq5/takao-takano-lyon-06; Takao Takano; 69006; Prix - De 40 € à 120 €
Numéro 3;  https://restaurant.michelin.fr/2dnmje9/numero-3-le-tremblay-sur-mauldre; ; 78490; Prix - De 49 € à 85 €
Logis de la Cadène;  https://restaurant.michelin.fr/3kw7mh1/logis-de-la-cadene-saint-emilion; Alexandre Baumard; 33330; Prix - De 39 € à 95 €
Aux Anges;  https://restaurant.michelin.fr/3m56yu9/aux-anges-roanne; Marco Viganò; 42300; Prix - De 36 € à 80 €
Le Pily;  https://restaurant.michelin.fr/2eh8fjc/le-pily-cherbourg-en-cotentin; ; 50100; Prix - De 47 € à 116 €
Le Gabriel;  https://restaurant.michelin.fr/9sqrw32m/le-gabriel-paris-08; Jérôme Banctel; 75008; Prix - De 95 € à 235 €
Yam'Tcha;  https://restaurant.michelin.fr/2ewldde/yamtcha-paris-01; ; 75001; Prix - De 70 € à 150 €
Le Moulin du Roc;  https://restaurant.michelin.fr/2bk7w2q/le-moulin-du-roc-champagnac-de-belair; Alain Gardillou; 24530; Prix - De 49 € à 125 €
Mirazur;  https://restaurant.michelin.fr/2d440f7/mirazur-menton; Mauro Colagreco; 06500; Prix - De 160 € à 260 €
La Table des Cordeliers;  https://restaurant.michelin.fr/2d7x1hk/la-table-des-cordeliers-condom; ; 32100; Prix - De 35 € à 95 €
La Table de Franck Putelat;  https://restaurant.michelin.fr/2e06z2s/la-table-de-franck-putelat-carcassonne; Franck Putelat; 11000; Prix - De 40 € à 160 €
La Table de la Bergerie;  https://restaurant.michelin.fr/i1i7i9b/la-table-de-la-bergerie-le-champ-sur-layon; David Guitton; 49380; Prix - De 19 € à 47 €
L'Orée de la Forêt;  https://restaurant.michelin.fr/297c2t4/loree-de-la-foret-etouy; ; 60600; Prix - De 60 € à 120 €
Le Passe Temps;  https://restaurant.michelin.fr/44ahwpa/le-passe-temps-lyon-06; Younghoon Lee; 69006; Prix - De 33 € à 85 €
Sola;  https://restaurant.michelin.fr/3yamflk/sola-paris-05; Kosuke Nabeta; 75005; Prix - De 48 € à 98 €
Une Île;  https://restaurant.michelin.fr/2erjwfi/une-ile-angers; Gérard Bossé; 49000; Prix - De 35 € à 78 €
L'Ekrin by Laurent Azoulay;  https://restaurant.michelin.fr/9isyik39/lekrin-laurent-azoulay-meribel-mottaret; Laurent Azoulay; 73550; Prix - De 95 € à 230 €
Montée;  https://restaurant.michelin.fr/3615586/montee-paris-14; ; 75014; Prix - De 40 € à 105 €
Il Carpaccio;  https://restaurant.michelin.fr/2fdi6av208/il-carpaccio-paris-08; ; 75008; Prix - De 45 € à 145 €
Le Manoir du Lys;  https://restaurant.michelin.fr/2bfnmbt/le-manoir-du-lys-bagnoles-de-lorne-normandie; ; 61140; Prix - De 49 € à 99 €
La Palme d'Or;  https://restaurant.michelin.fr/292bk5u/la-palme-dor-cannes; Christian Sinicropi; 06400; Prix - De 70 € à 300 €
David Toutain;  https://restaurant.michelin.fr/2ei5hub/david-toutain-paris-07; ; 75007; Prix - De 60 € à 160 €
Miraflores;  https://restaurant.michelin.fr/2jcivvu3/miraflores-lyon-06; ; 69006; Prix - De 70 € à 115 €
Le Prince Noir - Vivien Durand;  https://restaurant.michelin.fr/4g00u3j8/le-prince-noir-vivien-durand-lormont; Vivien Durand; 33310; Prix - De 55 € à 107 €
