HotelName; HotelChef; HotelUrl; RestaurantName; RestaurantPriceRange; RestauChef
 La Bonne Étape ;  Jany Gleize; https://www.relaischateaux.com/us/france/bonneetape-alpes-de-haute-provence-chateau-arnoux; La Bonne Étape;  Prix - De 35 € à 75 €;  Jany Gleize
 Brittany & Spa ;  Loic Le Bail; https://www.relaischateaux.com/us/france/brittany-finistere-roscoff; Le Brittany;  Prix - De 58 € à 68 €;  Loic Le Bail
 Château de La Chèvre d’Or ;  Arnaud Faye; https://www.relaischateaux.com/us/france/chevredor-alpes-maritimes-eze-village; La Chèvre d'Or;  Prix - De 85 € à 300 €;  Arnaud Faye, Chef Exécutif et Julien Dugourd, Chef Pâtissier
 Au Crocodile ;  Franck Pelux; https://www.relaischateaux.com/us/france/crocodile-bas-rhin; Au Crocodile;  Prix - De 48 € à 148 €;  Franck Pelux
 Baumanière Hôtel & Spa ;  Glenn Viel; https://www.relaischateaux.com/us/france/baumaniere-hotel-spa-les-baux-de-provence; L'Oustau de Baumanière;  Prix - De 100 € à 220 €;  Glenn Viel
 Lucas Carton ;  Julien Dumas; https://www.relaischateaux.com/us/france/lucascarton-ile-de-france-paris; Lucas Carton;  Prix - De 89 € à 151 €;  Julien Dumas
 Le Grand Véfour ;  Guy Martin; https://www.relaischateaux.com/us/france/vefour-paris; Le Grand Véfour;  Prix - De 115 € à 315 €;  Guy Martin
 L’Arnsbourg Restaurant et Hôtel ;  Fabien Mengus; https://www.relaischateaux.com/us/france/arnsbourg-moselle-baerenthal; L'Arnsbourg;  Prix - De 55 € à 133 €;  Fabien Mengus
 Villa Florentine ;  David Delsart; https://www.relaischateaux.com/us/france/florentine-rhone-lyon; Les Terrasses de Lyon;  Prix - De 76 € à 120 €;  David Delsart
 Auberge des Templiers ;  Martin Simonart; https://www.relaischateaux.com/us/france/templiers-loiret-boismorand; Auberge des Templiers;  Prix - De 70 € à 160 €;  Martin Simonart
 Les Hautes Roches ;  Didier Edon; https://www.relaischateaux.com/us/france/hautesroches-indre-et-loire-rochecorbon; Les Hautes Roches;  Prix - De 60 € à 80 €;  Didier Edon
 L’Oasis ;  Alain Montigny; https://www.relaischateaux.com/us/france/oasis-alpes-maritimes-la-napoule; L'Oasis;  Prix - De 69 € à 282 €;  Alain Montigny
 Maison Lameloise ;  Eric Pras; https://www.relaischateaux.com/us/france/lameloise-saone-et-loire-chagny; Maison Lameloise;  Prix - De 82 € à 215 €;  Eric Pras
 Assiette Champenoise ;  Arnaud Lallement; https://www.relaischateaux.com/us/france/assiette-champenoise-champagne-ardenne-tinqueux; Assiette Champenoise;  Prix - De 95 € à 185 €;  Arnaud Lallement
 Monte-Carlo Beach ;  Paolo Sari; https://www.relaischateaux.com/us/france/montecarlo-alpes-maritimes-roquebrune-cap-martin; Elsa;  Prix - De 55 € à 160 €;  Paolo Sari
 Château de Bagnols ;  Jean-Alexandre Ouaratta; https://www.relaischateaux.com/us/france/bagnols-rhone-alpes; 1217;  Prix - De 65 € à 140 €;  Jean-Alexandre Ouaratta
 Restaurant Gill ;  Gilles Tournadre; https://www.relaischateaux.com/us/france/gill-seine-maritime-rouen; Gill;  Prix - De 45 € à 140 €;  Gilles Tournadre
 Le Prieuré Baumanière ;  Marc Fontanne; https://www.relaischateaux.com/us/france/leprieure-gard-villeneuve-lez-avignon; Le Prieuré;  Prix - De 36 € à 120 €;  Marc Fontanne
 Maison Pic ;  Anne-Sophie Pic; https://www.relaischateaux.com/us/france/pic-drome-valence; Pic;  Prix - De 110 € à 330 €;  Anne-Sophie Pic
 Hôtel Restaurant En Marge ;  Frank Renimel; https://www.relaischateaux.com/us/france/hotel-restaurant-en-marge-aureville; En Marge;  Prix - De 34 € à 145 €;  Frank Renimel
 Domaine Les Crayères ;  Philippe Mille; https://www.relaischateaux.com/us/france/crayeres-marne-reims; Le Parc Les Crayères;  Prix - De 70 € à 190 €;  Philippe Mille
 Abbaye de la Bussière ;  Guillaume Royer; https://www.relaischateaux.com/us/france/bussiere-cote-d-or-la-bussiere-sur-ouche; 1131;  Prix moyen - 98 €;  Guillaume Royer
 Les Hauts de Loire ;  Rémy Giraud; https://www.relaischateaux.com/us/france/hauts-loire-loir-et-cher-onzain; Domaine des Hauts de Loire;  Prix - De 49 € à 165 €;  Rémy Giraud
 La Signoria & Spa ;  Alexandre Fabris; https://www.relaischateaux.com/us/france/signoria-corse-calvi; La Signoria;  Prix - De 50 € à 95 €;  Alexandre Fabris
 Château de Mercuès ;  Julien Poisot; https://www.relaischateaux.com/us/france/mercues-lot-mercues; Le Duèze;  Prix - De 39 € à 155 €;  Julien Poisot
 Restaurant Mirazur ;  Mauro Colagreco; https://www.relaischateaux.com/us/france/mirazur-alpes-maritimes-menton; Mirazur;  Prix - De 160 € à 260 €;  Mauro Colagreco
 Hôtel & Spa du Castellet ;  Christophe Bacquié; https://www.relaischateaux.com/us/france/castellet-var-le-castellet; Christophe Bacquié;  Prix - De 135 € à 240 €;  Christophe Bacquié
 La Pyramide Patrick Henriroux ;  Patrick Henriroux; https://www.relaischateaux.com/us/france/pyramide-isere-vienne; La Pyramide - Patrick Henriroux;  Prix - De 66 € à 198 €;  Patrick Henriroux
 L'Auberge Basque ;  Cédric Béchade; https://www.relaischateaux.com/us/france/auberge-basque-saint-pee-sur-nivelle-pyrenees-atlantiques; L'Auberge Basque;  Prix - De 29 € à 71 €;  Cédric Béchade
 Le Vieux Logis ;  Vincent Arnould; https://www.relaischateaux.com/us/france/vieuxlogis-dordogne-tremolat; Le Vieux Logis;  Prix - De 50 € à 120 €;  Vincent Arnould
 La Chapelle Saint-Martin ;  Gilles Dudognon; https://www.relaischateaux.com/us/france/chapelle-haute-vienne-nieul; Chapelle Saint-Martin;  Prix - De 55 € à 89 €;  Gilles Dudognon
 Hôtel Restaurant Clos des Sens - Laurent PETIT ;  Laurent Petit; https://www.relaischateaux.com/us/france/clos-des-sens-haute-savoie; Le Clos des Sens;  Prix - De 78 € à 198 €;  Laurent Petit
 Auberge du Jeu de Paume ;  Julien Lucas; https://www.relaischateaux.com/us/france/jeudepaume-oise-chantilly; La Table du Connétable;  Prix - De 67 € à 161 €;  Julien Lucas
 Le Relais Bernard Loiseau – Spa Loiseau des Sens ;  Patrick Bertron; https://www.relaischateaux.com/us/france/loiseau-cote-d-or-saulieu; Le Relais Bernard Loiseau;  Prix - De 75 € à 250 €;  Patrick Bertron
 Château de Valmer ;  Jimmy Coutel; https://www.relaischateaux.com/us/france/chateau-de-valmer-la-croix-valmer; La Palmeraie;  Prix - De 28 € à 65 €;  Jimmy Coutel
 Les Prés d’Eugénie - Maison Guérard ;  Michel Guérard; https://www.relaischateaux.com/us/france/guerard-landes-eugenie-les-bains; Les Prés d'Eugénie - Michel Guérard;  Prix - De 133 € à 255 €;  Michel Guérard
 Le Chambard ;  Olivier Nasti; https://www.relaischateaux.com/us/france/le-chambard-haut-rhin-kaysersberg; La Table d'Olivier Nasti;  Prix - De 85 € à 205 €;  Olivier Nasti
 Relais de la Poste ;  Jean Coussau; https://www.relaischateaux.com/us/france/poste-landes-magescq; Relais de la Poste;  Prix - De 59 € à 127 €;  Jean Coussau
 Restaurant Christopher Coutanceau ;  Christopher Coutanceau; https://www.relaischateaux.com/us/france/coutanceau-charente-maritime-la-rochelle; Christopher Coutanceau;  Prix - De 68 € à 165 €;  Christopher Coutanceau
 Yoann Conte – Bord du Lac Hôtel Restaurant ;  Yoann Conte; https://www.relaischateaux.com/us/france/yoannconte-haute-savoie-veyrier-du-lac; Yoann Conte;  Prix - De 98 € à 249 €;  Yoann Conte
 La Maison des Bois – Marc Veyrat ;  Marc Veyrat; https://www.relaischateaux.com/us/france/marcveyrat-haute-savoie-manigod; La Maison des Bois - Marc Veyrat;  Prix - De 295 € à 395 €;  Marc Veyrat
 Maison Decoret ;  Jacques Decoret; https://www.relaischateaux.com/us/france/decoret-allier-vichy; Maison Decoret;  Prix - De 45 € à 125 €;  Jacques Decoret
 Villa René Lalique ;  Jean-Georges Klein; https://www.relaischateaux.com/us/france/lalique-bas-rhin; Villa René Lalique;  Prix - De 78 € à 240 €;  Jean-Georges Klein et  Paul Stradner
 Château d’Adoménil ;  Cyril Leclerc; https://www.relaischateaux.com/us/france/adomenil-meurthe-et-moselle-luneville; Château d'Adoménil;  Prix - De 69 € à 150 €;  Cyril Leclerc
 Domaine de Rochevilaine ;  Maxime Nouail; https://www.relaischateaux.com/us/france/rochevilaine-morbihan-billiers; Domaine de Rochevilaine;  Prix - De 44 € à 110 €;  Maxime Nouail
 Hotel & Restaurant Thierry Drapeau ;  Thierry Drapeau; https://www.relaischateaux.com/us/france/thierrydrapeau-vendee-saint-sulpice-le-verdon; Thierry Drapeau;  Prix - De 58 € à 148 €;  Thierry Drapeau
 Flocons de Sel ;  Emmanuel Renaut; https://www.relaischateaux.com/us/france/flocons-haute-savoie-megeve; Flocons de Sel;  Prix - De 90 € à 168 €;  Emmanuel Renaut
 Hotel Ile de la Lagune Thalasso & Spa ;  Christophe Schmitt; https://www.relaischateaux.com/us/france/ile-de-la-lagune-saint-cyprien; L'Almandin;  Prix - De 30 € à 108 €;  Christophe Schmitt
 Le Phébus & Spa - Villa des Anges ;  Xavier Mathieu; https://www.relaischateaux.com/us/france/phebus-vaucluse-gordes; Xavier Mathieu;  Prix - De 80 € à 170 €;  Xavier Mathieu
 Hôtel Les Barmes de l'Ours ;  Antoine Gras; https://www.relaischateaux.com/us/france/barmes-de-l-ours-savoie; La Table de l'Ours;  Prix - De 95 € à 160 €;  Antoine Gras
 La Côte Saint Jacques & Spa ;  Jean-Michel Lorain; https://www.relaischateaux.com/us/france/la-cote-saint-jacques-yonne-joigny; La Côte Saint-Jacques;  Prix - De 79 € à 238 €;  Jean-Michel Lorain
 Le Saint-James Bouliac ;  Nicolas Magie; https://www.relaischateaux.com/us/france/stjames-gironde-bouliac; Le Saint-James;  Prix - De 49 € à 160 €;  Nicolas Magie
 Restaurant Alexandre ;  Michel Kayser; https://www.relaischateaux.com/us/france/alexandre-gard-garons; Alexandre;  Prix - De 52 € à 118 €;  Michel Kayser
