Hotel; Chef; CodePostal; Url
 Hostellerie de Levernois ; Philippe Augé; 21200 21200 ;https://www.relaischateaux.com/us/france/levernois-cote-d-or-levernois-beaune
 La Bonne Étape ; Jany Gleize; 04160 ;https://www.relaischateaux.com/us/france/bonneetape-alpes-de-haute-provence-chateau-arnoux
 Le Suquet, Sébastien Bras ; Sébastien Bras; 12210 ;https://www.relaischateaux.com/us/france/bras-aveyron-laguiole
 Castel Clara Thalasso & Spa ; Franck Moisan; 56360 ;https://www.relaischateaux.com/us/france/castelclara-morbihan-bangor
 Le Mas de Pierre ; Emmanuel Lehrer; 06570 ;https://www.relaischateaux.com/us/france/maspierre-alpes-maritimes-saint-paul-de-vence
 Château Cordeillan-Bages ; Julien Lefebvre; 33250 ;https://www.relaischateaux.com/us/france/cordeillan-gironde-pauillac
 Brittany & Spa ; Loic Le Bail; 29681 ;https://www.relaischateaux.com/us/france/brittany-finistere-roscoff
 Château de La Chèvre d’Or ; Arnaud Faye; 06360 06360 06360 06360 ;https://www.relaischateaux.com/us/france/chevredor-alpes-maritimes-eze-village
 Au Crocodile ; Franck Pelux; 67000 ;https://www.relaischateaux.com/us/france/crocodile-bas-rhin
 Baumanière Hôtel & Spa ; Glenn Viel; 13520 ;https://www.relaischateaux.com/us/france/baumaniere-hotel-spa-les-baux-de-provence
 Lucas Carton ; Julien Dumas; 75008 ;https://www.relaischateaux.com/us/france/lucascarton-ile-de-france-paris
 Château de Courcelles ; Lucas Vannier; 02220 ;https://www.relaischateaux.com/us/france/courcelles-aisne-courcelles-sur-vesle
 Bas Rupts ; Michel Philippe; 88400 ;https://www.relaischateaux.com/us/france/basrupts-vosges-gerardmer
 Château des Avenières ; Anthony Laboubé; 74350 ;https://www.relaischateaux.com/us/france/avenieres-haute-savoie-cruseilles
 Saint James Paris ; Adrien Brunet; 75116 ;https://www.relaischateaux.com/us/france/saintjames-paris-ile-de-france-paris
 Le Grand Véfour ; Guy Martin; 75001 ;https://www.relaischateaux.com/us/france/vefour-paris
 L’Arnsbourg Restaurant et Hôtel ; Fabien Mengus; 57230 ;https://www.relaischateaux.com/us/france/arnsbourg-moselle-baerenthal
 Villa Florentine ; David Delsart; 69005 ;https://www.relaischateaux.com/us/france/florentine-rhone-lyon
 Pierre Gagnaire ; Pierre Gagnaire; 75008 ;https://www.relaischateaux.com/us/france/gagnaire-paris
 Château de Fonscolombe ; Nadège Serret; 13610 ;https://www.relaischateaux.com/us/france/fonscolombe-bouches-du-rhone
 Auberge des Templiers ; Martin Simonart; 45290 ;https://www.relaischateaux.com/us/france/templiers-loiret-boismorand
 Hostellerie La Cheneaudière & Spa ; Roger Bouhassoun; 67420 ;https://www.relaischateaux.com/us/france/cheneaudiere-bas-rhin-colroy-la-roche
 Hôtel-Spa La Bouitte – Restaurant René et Maxime Meilleur ; René and Maxime Meilleur; 73440 ;https://www.relaischateaux.com/us/france/la-bouitte-savoie
 Les Hautes Roches ; Didier Edon; 37210 ;https://www.relaischateaux.com/us/france/hautesroches-indre-et-loire-rochecorbon
 Jiva Hill Resort ; Vincent Betton; 01170 ;https://www.relaischateaux.com/us/france/jivahill-ain-crozet
 L’Oasis ; Alain Montigny; 06210 ;https://www.relaischateaux.com/us/france/oasis-alpes-maritimes-la-napoule
 Maison Lameloise ; Eric Pras; 71150 ;https://www.relaischateaux.com/us/france/lameloise-saone-et-loire-chagny
 Assiette Champenoise ; Arnaud Lallement; 51430 ;https://www.relaischateaux.com/us/france/assiette-champenoise-champagne-ardenne-tinqueux
 L’Hôtel de Toiras & Villa Clarisse ; Antonio Sanna; 17410 ;https://www.relaischateaux.com/us/france/toiras-charente-maritime-saint-martin-de-re
 Monte-Carlo Beach ; Paolo Sari; 06190 ;https://www.relaischateaux.com/us/france/montecarlo-alpes-maritimes-roquebrune-cap-martin
 Grand Hôtel du Lion d’Or ; Didier Clément; 41200 ;https://www.relaischateaux.com/us/france/liondor-loir-et-cher-romorantin-lanthenay
 Hôtel Impérial Garoupe ; Pierre-Alain Garnier; 06600 06600 ;https://www.relaischateaux.com/us/france/garoupe-alpes-maritimes-cap-d-antibes
 Michel Trama ; Michel Trama; 47270 ;https://www.relaischateaux.com/us/france/aubergade-lot-et-garonne-puymirol
 Château de Bagnols ; Jean-Alexandre Ouaratta; 69620 ;https://www.relaischateaux.com/us/france/bagnols-rhone-alpes
 Château de Berne ; Benjamin Collombat; 83780 83780 ;https://www.relaischateaux.com/us/france/berne-var-lorgues
 Château de Rochegude ; Thierry Frebout; 26790 ;https://www.relaischateaux.com/us/france/rochegude-drome-rochegude
 Restaurant Gill ; Gilles Tournadre; 76000 ;https://www.relaischateaux.com/us/france/gill-seine-maritime-rouen
 Le Club de Cavalière & Spa ; Marc Dach; 83980 73550 ;https://www.relaischateaux.com/us/france/cavaliere-var-le-lavandou-cavaliere
 Pan Deï Palais ; Quentin Durand; 83990 ;https://www.relaischateaux.com/us/france/pandei-var-saint-tropez
 Le Prieuré Baumanière ; Marc Fontanne; 30400 ;https://www.relaischateaux.com/us/france/leprieure-gard-villeneuve-lez-avignon
 Maison Pic ; Anne-Sophie Pic; 26000 26000 ;https://www.relaischateaux.com/us/france/pic-drome-valence
 La Bastide ; Jérôme Artiguebère; 32150 ;https://www.relaischateaux.com/us/france/labastide-gers-barbotan-les-thermes
 Château de Drudas ; Axell Boisselier; 31480 ;https://www.relaischateaux.com/us/france/chateau-de-drudas
 Hôtel et Restaurant Régis et Jacques Marcon ; Régis & Jacques Marcon; 43290 ;https://www.relaischateaux.com/us/france/cimes-haute-loire-saint-bonnet-le-froid
 La Grande Maison de Bernard Magrez ; Jean-Denis Le Bras - Pierre Gagnaire; 33000 ;https://www.relaischateaux.com/us/france/grande-maison-bernard-magrez-gironde-bordeaux
 La Bastide Saint-Antoine ; Laurent Barberot; 06130 ;https://www.relaischateaux.com/us/france/saintantoine-alpes-maritimes-grasse
 Hôtel Restaurant En Marge ; Frank Renimel; 31320 ;https://www.relaischateaux.com/us/france/hotel-restaurant-en-marge-aureville
 Domaine Les Crayères ; Philippe Mille; 51100 51100 ;https://www.relaischateaux.com/us/france/crayeres-marne-reims
 Abbaye de la Bussière ; Guillaume Royer; 21360 ;https://www.relaischateaux.com/us/france/bussiere-cote-d-or-la-bussiere-sur-ouche
 Villa Gallici ; Christophe Gavot; 13100 ;https://www.relaischateaux.com/us/france/gallici-bouches-du-rhone-aix-en-provence
 Les Hauts de Loire ; Rémy Giraud; 41150 ;https://www.relaischateaux.com/us/france/hauts-loire-loir-et-cher-onzain
 La Signoria & Spa ; Alexandre Fabris; 20260 ;https://www.relaischateaux.com/us/france/signoria-corse-calvi
 Coquillade Village ; Thierry Enderlin; 84400 ;https://www.relaischateaux.com/us/france/coquillade-vaucluse-gargas
 Château de la Treyne ; Stéphane Andrieux; 46200 ;https://www.relaischateaux.com/us/france/treyne-lot-lacave
 Château de Mercuès ; Julien Poisot; 46090 46090 ;https://www.relaischateaux.com/us/france/mercues-lot-mercues
 Restaurant Mirazur ; Mauro Colagreco; 06500 ;https://www.relaischateaux.com/us/france/mirazur-alpes-maritimes-menton
 Cazaudehore « La Forestière » ; Gregory Balland; 78100 ;https://www.relaischateaux.com/us/france/cazaudehore-yvelines-saint-germain-en-laye
 La Ferme Saint-Siméon ; Sébastien Faramond; 14600 ;https://www.relaischateaux.com/us/france/simeon-calvados-honfleur
 Hôtel & Spa du Castellet ; Christophe Bacquié; 83330 ;https://www.relaischateaux.com/us/france/castellet-var-le-castellet
 Les Bergeries de Palombaggia ; Jean-Jacques Gauthier; 20137 ;https://www.relaischateaux.com/us/france/palombaggia-corse-du-sud-porto-vecchio
 Château d’Audrieu ; Olivier Barbarin; 14250 ;https://www.relaischateaux.com/us/france/audrieu-calvados-audrieu
 Cap d’Antibes Beach Hotel ; Nicolas Rondelli; 06160 ;https://www.relaischateaux.com/us/france/antibes-alpes-maritimes-cap-d-antibes
 La Pyramide Patrick Henriroux ; Patrick Henriroux; 38200 ;https://www.relaischateaux.com/us/france/pyramide-isere-vienne
 Domaine d’Auriac ; Philippe Deschamps; 11009 ;https://www.relaischateaux.com/us/france/auriac-aude-carcassonne
 L'Auberge Basque ; Cédric Béchade; 64310 ;https://www.relaischateaux.com/us/france/auberge-basque-saint-pee-sur-nivelle-pyrenees-atlantiques
 La Bastide de Capelongue ; Édouard Loubet; 84480 84480 ;https://www.relaischateaux.com/us/france/capelongue-vaucluse-bonnieux-en-provence
 Le Vieux Logis ; Vincent Arnould; 24510 ;https://www.relaischateaux.com/us/france/vieuxlogis-dordogne-tremolat
 La Chapelle Saint-Martin ; Gilles Dudognon; 87510 87510 87510 ;https://www.relaischateaux.com/us/france/chapelle-haute-vienne-nieul
 Hôtel Restaurant Clos des Sens - Laurent PETIT ; Laurent Petit; 74940 74940 ;https://www.relaischateaux.com/us/france/clos-des-sens-haute-savoie
 Auberge du Jeu de Paume ; Julien Lucas; 60500 ;https://www.relaischateaux.com/us/france/jeudepaume-oise-chantilly
 Le Castel Marie-Louise ; Eric Mignard; 44504 ;https://www.relaischateaux.com/us/france/marielouise-loire-atlantique-la-baule
 Château de Riell ; Sébastien Nouveau; 66500 ;https://www.relaischateaux.com/us/france/riell-pyrenees-orientales-prades
 Le Relais Bernard Loiseau – Spa Loiseau des Sens ; Patrick Bertron; 21210 ;https://www.relaischateaux.com/us/france/loiseau-cote-d-or-saulieu
 Hameau Albert Ier ; Damien Leveau; 74402 ;https://www.relaischateaux.com/us/france/albert-haute-savoie-chamonix-mont-blanc
 Clarance Hôtel ; Thibaut Gamba; 59000 ;https://www.relaischateaux.com/us/france/clarance-hotel-nord
 Hôtel Parc Victoria ; Guillaume Applaincourt; 64500 ;https://www.relaischateaux.com/us/france/parcvictoria-pyrenees-atlantiques-saint-jean-de-luz
 Château de Valmer ; Jimmy Coutel; 83420 ;https://www.relaischateaux.com/us/france/chateau-de-valmer-la-croix-valmer
 Hôtel Splendide Royal Paris ; Vito Grippa; 75008 ;https://www.relaischateaux.com/us/france/hotel-splendide-royal-paris
 Les Prés d’Eugénie - Maison Guérard ; Michel Guérard; 40320 40320 ;https://www.relaischateaux.com/us/france/guerard-landes-eugenie-les-bains
 Hôtel Crillon le Brave ; Julien Marseault; 84410 ;https://www.relaischateaux.com/us/france/crillonbrave-vaucluse-crillon-le-brave
 Le Chambard ; Olivier Nasti; 68240 ;https://www.relaischateaux.com/us/france/le-chambard-haut-rhin-kaysersberg
 Passage 53 ; Shinichi Sato; 75002 ;https://www.relaischateaux.com/us/france/passage53-paris
 Le Domaine de Verchant ; Damien Cousseau; 34170 ;https://www.relaischateaux.com/us/france/verchant-herault-montpellier
 Hôtel Le Chabichou Restaurants & Spa ; Michel Rochedy & Stéphane Buron; 73120 ;https://www.relaischateaux.com/us/france/chabichou-savoie-courchevel-1850
 Relais de la Poste ; Jean Coussau; 40140 ;https://www.relaischateaux.com/us/france/poste-landes-magescq
 Château de Noirieux ; Christophe Guillemot; 49125 ;https://www.relaischateaux.com/us/france/noirieux-maine-et-loire-briollay
 Au Cœur du Village Hôtel & Spa ; Cédric Heurtebise & Vincent Deforce; 74220 74220 ;https://www.relaischateaux.com/us/france/coeurduvillage-rhone-alpes-la-clusaz
 Restaurant Christopher Coutanceau ; Christopher Coutanceau; 17000 ;https://www.relaischateaux.com/us/france/coutanceau-charente-maritime-la-rochelle
 Château de Germigney ; Pierre Basso-Moro; 39600 ;https://www.relaischateaux.com/us/france/germigney-jura-port-lesney
 Maison Rostang ; Michel Rostang and Nicolas Beaumann; 75017 ;https://www.relaischateaux.com/us/france/rostang-paris
 Moulin de l’Abbaye ; Jean Michel Bardet; 24310 ;https://www.relaischateaux.com/us/france/moulin-dordogne-brantome-en-perigord
 Royal Champagne Hotel & Spa ; Jean-Denis Rieubland; 51160 ;https://www.relaischateaux.com/us/france/royalchampagne-marne-champillon
 Château de Codignat ; Mathieu Barbet; 63190 ;https://www.relaischateaux.com/us/france/codignat-puy-de-dome-bort-l-etang
